username, created_at, lng, lat, text
JoannaLovesGod, Thu Jan 28 07:22:24 +0000 2021, -81.492853, 29.944459, @LiisaJust @SLbacon0410 @PaulMer53 @Patriot3651 @pnjkrull @CaroBbad @QVMQ1 @OGJavaB1 @MERICA_HK @MagaSooner… https://t.co/5mChg42a01 
ClippedMeSmh, Thu Jan 28 07:22:24 +0000 2021, -83.173867, 32.678207, He definitely tweeted that for his girl 
WylieDustin, Thu Jan 28 07:22:25 +0000 2021, -92.131274, 34.751936, @TableofTitans Hey hulk!   3/11. Wall Street 11/12 ??? Maybe?? 
xo_tiffany01, Thu Jan 28 07:22:25 +0000 2021, -110.915573, 32.189391, hi twitter 🙈 just who might come back 
giftfromvirgos, Thu Jan 28 07:22:25 +0000 2021, -87.732013, 41.833585, @midaswoods @thabluboy they playing hot potato with your girl’s masters and you worried about nicki https://t.co/9qcSnnGUTm 
jeremygonzaless, Thu Jan 28 07:22:25 +0000 2021, -105.128188, 39.820206, bro i show a lil bit of weed on tik tok and they take it down...wtf is this? 😂 
MR_BARAZ, Thu Jan 28 07:22:25 +0000 2021, -115.223125, 36.232915, when trust dropped I did this for a whole night lol 
MexBaller20, Thu Jan 28 07:22:25 +0000 2021, -119.271958, 35.757814, @Domie109 Legend says Frank told him he didn't deserve a rematch. 
mattkoonmusic, Thu Jan 28 07:22:26 +0000 2021, -77.357365, 37.623306, I’ll be up for a bit. If y’all want to ask me anything, about music.. wrestling themes, podcasts, teaching music, w… https://t.co/MslpFJUWVH 
MatthewButtacc6, Thu Jan 28 07:22:26 +0000 2021, -75.770041, 42.746617, Lonely Catholic Italian man https://t.co/0gAGS96qmk 
Sports_Goofs, Thu Jan 28 07:22:26 +0000 2021, -80.304663, 25.857732, Check out SportsGoofs's replay [SG 90 (1/20-1/26/21) - Super Bowl LV: Old Guard vs. New Guard (Kansas City vs. Tamp… https://t.co/yz7XfX5b97 
